Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas1                 Pavarde1                      5         4         7         8         2        10         3         6        10        10         8        10         7         8         1         6         5         1         8         8         6
Vardas2                 Pavarde2                      9         8         5         4         2         8         8        10         5        10         3        10         4         1         2         7         1         9         3         9         2
Vardas3                 Pavarde3                      5         5         6         1         4         7         9         8         2        10         1         9         6         2        10         9         5        10         8         7         5
Vardas4                 Pavarde4                      7         3         4        10        10         9        10         4         6         4         7         6         3         9        10         6        10         9         1         1         7
Vardas5                 Pavarde5                      2         9         6         7         6         1         8         2         3         7         1         7         2         6         6        10        10         9         7         4        10
Vardas6                 Pavarde6                      1         1         7         4         7         6         9         8         8         9         6         4         3         5         2         7         3         9        10         1         2
Vardas7                 Pavarde7                      5         1         2         3         1         9         5         1         8         9         6         2         2         2        10         5         3         9         2         8         9
Vardas8                 Pavarde8                      1         9         7         7         7         4         1         3         6         6         5         4        10         5         7         7         1         5         6        10         9
Vardas9                 Pavarde9                      7         8         7         6         8         8         6        10         6         3         3         4         4         4         1         1         5         2         8         8         3
Vardas10               Pavarde10                      3         1         9         3         7         7         7         1         3         2         6         3         5         9         3        10        10         4         1         9         6
Vardas11               Pavarde11                      5         7         5         9         8         5        10        10         4         1         7         5         5         5         6         2         1         4         7         2         2
Vardas12               Pavarde12                      9         8        10         7         8         2         3         5         6         6         3        10         3         3         5         9         8         6         6         3         2
Vardas13               Pavarde13                      1         1         1         2        10         9         5         7         7        10        10         1         5         3         5         4         2         6        10         6         5
Vardas14               Pavarde14                      2         7         4         2         1        10        10         6         9         3         8         8         9         2         3         3         8         6         3         6        10
Vardas15               Pavarde15                      6         2         5         5         9         1         7         8        10         5         1         6         2         8        10         8        10        10         1         9         4
Vardas16               Pavarde16                      8        10         9         9         4         2         6         4         7         8         7         7        10         4         2         6         4         2         7         7        10
Vardas17               Pavarde17                      3        10         9         9         7         3         9         6         6         8         1         5         2         7         6         3         7         1         8         4         1
Vardas18               Pavarde18                      8         7         4         6        10         2         7         8         1         2        10         3         3         3         6         3         6         8         2         5         9
Vardas19               Pavarde19                      1         3        10         7         3         2         8         9         7         9         4         4        10         5         8         9         5         7         5         4         8
Vardas20               Pavarde20                      6         2         5         9         6         7         4         9         6         8        10         7         3         5        10         9         2         8         6         8         7
Vardas21               Pavarde21                      8         9         5         1         8         3         5         1         7         8         5         2         2         2         9        10         8         7         3         2         7
Vardas22               Pavarde22                      7         2         2         9         3         5         4        10         4         2         2         7         6         4         8         9         9         8         4         1         8
Vardas23               Pavarde23                     10         3         5         4         7         5         4         5         2         5         4         4         5         6         5         1         6        10         2         7         6
Vardas24               Pavarde24                      4         2         6         9         4         7        10         9         9         4         5         8         7         3         2         9         4         7         7         7         9
